 🗙	[10, 11, 13, 16, 15] | direction [changes], status [False]
 🗙	[70, 68, 66, 64, 64, 61, 60, 56] | direction [changes], status [False]
 🗙	[84, 81, 80, 79, 79, 73] | direction [changes], status [False]
 🔻	[93, 91, 88, 84, 83] | direction [down], status [False]
 🗙	[63, 61, 57, 56, 53, 52, 50, 51] | direction [changes], status [False]
 🗙	[85, 84, 80, 77, 77] | direction [changes], status [False]
 🔻	[85, 84, 82, 81, 77, 74, 70] | direction [down], status [False]
 🔻	[21, 20, 16, 15, 12, 9, 2] | direction [down], status [False]
 🔻	[41, 39, 38, 32, 31, 28] | direction [down], status [False]
 🗙	[82, 81, 80, 74, 76] | direction [changes], status [False]
 🗙	[64, 61, 55, 54, 53, 50, 50] | direction [changes], status [False]
 🔻	[39, 36, 31, 28, 26, 22] | direction [down], status [False]
 🔻	[78, 75, 68, 65, 60] | direction [down], status [False]
 🗙	[96, 97, 95, 92, 89, 88, 86, 84] | direction [changes], status [False]
 🗙	[97, 98, 96, 94, 97] | direction [changes], status [False]
 🗙	[86, 89, 87, 84, 84] | direction [changes], status [False]
 🗙	[58, 61, 58, 56, 52] | direction [changes], status [False]
 🗙	[72, 73, 72, 70, 69, 68, 67, 60] | direction [changes], status [False]
 🗙	[33, 34, 35, 32, 29, 28] | direction [changes], status [False]
 🗙	[62, 65, 63, 61, 60, 59, 61, 63] | direction [changes], status [False]
 🗙	[33, 36, 39, 36, 34, 31, 31] | direction [changes], status [False]
 🗙	[48, 50, 49, 52, 50, 46] | direction [changes], status [False]
 🗙	[17, 20, 22, 20, 19, 12] | direction [changes], status [False]
 🗙	[65, 66, 65, 64, 64, 62, 59] | direction [changes], status [False]
 🗙	[84, 85, 84, 84, 85] | direction [changes], status [False]
 🗙	[31, 32, 31, 28, 26, 26, 26] | direction [changes], status [False]
 🗙	[63, 66, 64, 61, 61, 58, 57, 53] | direction [changes], status [False]
 🗙	[66, 69, 68, 66, 66, 60] | direction [changes], status [False]
 🗙	[20, 23, 19, 16, 15] | direction [changes], status [False]
 🗙	[85, 86, 83, 81, 77, 74, 75] | direction [changes], status [False]
 🗙	[49, 50, 48, 44, 44] | direction [changes], status [False]
 🗙	[54, 57, 53, 51, 47] | direction [changes], status [False]
 🗙	[45, 46, 42, 39, 38, 36, 29] | direction [changes], status [False]
 🗙	[29, 32, 30, 29, 24, 21, 18, 17] | direction [changes], status [False]
 🗙	[19, 22, 21, 16, 15, 13, 14] | direction [changes], status [False]
 🗙	[76, 77, 72, 71, 68, 65, 64, 64] | direction [changes], status [False]
 🗙	[86, 87, 85, 83, 77, 76, 72] | direction [changes], status [False]
 🗙	[62, 63, 61, 60, 57, 54, 47, 41] | direction [changes], status [False]
 🗙	[36, 36, 35, 33, 32, 30, 28, 25] | direction [changes], status [False]
 🗙	[98, 98, 96, 93, 96] | direction [changes], status [False]
 🗙	[72, 72, 71, 68, 67, 65, 62, 62] | direction [changes], status [False]
 🗙	[29, 29, 26, 23, 21, 19, 17, 13] | direction [changes], status [False]
 🗙	[41, 41, 39, 37, 36, 29] | direction [changes], status [False]
 🗙	[36, 36, 33, 30, 27, 29, 28] | direction [changes], status [False]
 🗙	[77, 77, 78, 75, 72, 71, 73] | direction [changes], status [False]
 🗙	[56, 56, 53, 52, 49, 48, 50, 50] | direction [changes], status [False]
 🗙	[75, 75, 77, 74, 70] | direction [changes], status [False]
 🗙	[78, 78, 79, 77, 74, 73, 71, 66] | direction [changes], status [False]
 🗙	[30, 30, 29, 26, 25, 22, 22, 19] | direction [changes], status [False]
 🗙	[43, 43, 43, 41, 38, 36, 37] | direction [changes], status [False]
 🗙	[18, 18, 18, 17, 16, 15, 13, 13] | direction [changes], status [False]
 🗙	[55, 55, 52, 51, 48, 48, 44] | direction [changes], status [False]
 🗙	[65, 65, 63, 63, 62, 60, 54] | direction [changes], status [False]
 🗙	[58, 58, 54, 51, 50] | direction [changes], status [False]
 🗙	[51, 51, 50, 46, 49] | direction [changes], status [False]
 🗙	[63, 63, 62, 59, 57, 53, 53] | direction [changes], status [False]
 🗙	[68, 68, 64, 61, 58, 55, 54, 50] | direction [changes], status [False]
 🗙	[32, 32, 30, 27, 26, 22, 21, 15] | direction [changes], status [False]
 🗙	[66, 66, 60, 57, 54, 51, 49, 47] | direction [changes], status [False]
 🗙	[84, 84, 81, 78, 72, 75] | direction [changes], status [False]
 🗙	[81, 81, 75, 74, 74] | direction [changes], status [False]
 🗙	[49, 49, 46, 44, 42, 41, 35, 31] | direction [changes], status [False]
 🗙	[41, 41, 39, 38, 32, 30, 23] | direction [changes], status [False]
 🔻	[98, 94, 91, 88, 86, 85, 83] | direction [down], status [False]
 🗙	[66, 62, 60, 58, 59] | direction [changes], status [False]
 🗙	[66, 62, 59, 58, 58] | direction [changes], status [False]
 🔻	[63, 59, 58, 55, 54, 53, 50, 46] | direction [down], status [False]
 🔻	[69, 65, 62, 59, 58, 55, 48] | direction [down], status [False]
 🗙	[37, 33, 36, 34, 31] | direction [changes], status [False]
 🗙	[53, 49, 48, 46, 44, 47, 49] | direction [changes], status [False]
 🗙	[97, 93, 92, 94, 91, 89, 86, 86] | direction [changes], status [False]
 🗙	[76, 72, 71, 70, 73, 72, 68] | direction [changes], status [False]
 🗙	[39, 35, 33, 31, 34, 27] | direction [changes], status [False]
 🗙	[70, 66, 65, 65, 64] | direction [changes], status [False]
 🗙	[89, 85, 84, 83, 82, 80, 80, 81] | direction [changes], status [False]
 🗙	[77, 73, 70, 68, 68, 68] | direction [changes], status [False]
 🗙	[66, 62, 59, 58, 58, 57, 53] | direction [changes], status [False]
 🗙	[43, 39, 36, 36, 33, 32, 25] | direction [changes], status [False]
 🔻	[79, 75, 72, 70, 66, 65] | direction [down], status [False]
 🗙	[71, 67, 65, 62, 58, 56, 53, 55] | direction [changes], status [False]
 🗙	[82, 78, 75, 71, 71] | direction [changes], status [False]
 🔻	[40, 36, 32, 31, 29, 28, 27, 23] | direction [down], status [False]
 🔻	[91, 87, 86, 83, 82, 78, 72] | direction [down], status [False]
 🔻	[76, 72, 70, 69, 64, 63, 60, 57] | direction [down], status [False]
 🗙	[69, 65, 60, 57, 59] | direction [changes], status [False]
 🗙	[24, 20, 18, 17, 14, 8, 8] | direction [changes], status [False]
 🔻	[43, 39, 37, 34, 32, 31, 24, 20] | direction [down], status [False]
 🔻	[74, 70, 63, 62, 60, 54] | direction [down], status [False]
 🔻	[21, 16, 13, 12, 11, 10, 8] | direction [down], status [False]
 🗙	[79, 73, 72, 69, 66, 63, 60, 61] | direction [changes], status [False]
 🗙	[30, 25, 23, 21, 19, 19] | direction [changes], status [False]
 🔻	[63, 57, 55, 52, 49, 47, 46, 42] | direction [down], status [False]
 🔻	[26, 19, 18, 17, 16, 14, 7] | direction [down], status [False]
 🗙	[60, 54, 56, 53, 52, 49] | direction [changes], status [False]
 🗙	[42, 37, 36, 39, 38, 37, 35, 36] | direction [changes], status [False]
 🗙	[81, 76, 79, 77, 74, 74] | direction [changes], status [False]
 🗙	[27, 20, 19, 18, 15, 12, 15, 11] | direction [changes], status [False]
 🗙	[58, 53, 52, 53, 50, 44] | direction [changes], status [False]
 🗙	[17, 12, 10, 9, 8, 7, 7, 5] | direction [changes], status [False]
 🗙	[26, 21, 20, 20, 21] | direction [changes], status [False]
 🗙	[99, 93, 90, 87, 87, 84, 82, 82] | direction [changes], status [False]
 🗙	[31, 24, 21, 18, 15, 12, 12, 8] | direction [changes], status [False]
 🗙	[36, 31, 29, 27, 26, 26, 19] | direction [changes], status [False]
 🔻	[32, 27, 26, 22, 20, 18] | direction [down], status [False]
 🗙	[75, 68, 64, 61, 59, 62] | direction [changes], status [False]
 🗙	[22, 15, 13, 9, 9] | direction [changes], status [False]
 🔻	[64, 58, 57, 53, 49] | direction [down], status [False]
 🔻	[47, 42, 40, 36, 33, 30, 28, 23] | direction [down], status [False]
 🔻	[19, 12, 10, 4, 3] | direction [down], status [False]
 🗙	[20, 14, 11, 10, 9, 7, 1, 4] | direction [changes], status [False]
 🗙	[16, 10, 5, 4, 2, 2] | direction [changes], status [False]
 🔻	[88, 83, 78, 75, 71] | direction [down], status [False]
 🔻	[98, 92, 87, 86, 83, 81, 75] | direction [down], status [False]
 🗙	[70, 72, 74, 77, 75] | direction [changes], status [False]
 🗙	[36, 38, 40, 43, 46, 46] | direction [changes], status [False]
 🔺	[40, 42, 44, 45, 47, 48, 49, 53] | direction [up], status [False]
 🔺	[73, 75, 77, 80, 82, 89] | direction [up], status [False]
 🗙	[67, 69, 67, 68, 71] | direction [changes], status [False]
 🗙	[80, 83, 85, 87, 89, 87, 84] | direction [changes], status [False]
 🗙	[71, 73, 74, 71, 74, 74] | direction [changes], status [False]
 🗙	[31, 34, 36, 33, 34, 35, 39] | direction [changes], status [False]
 🗙	[77, 80, 79, 82, 83, 84, 90] | direction [changes], status [False]
 🗙	[19, 22, 25, 25, 27, 28] | direction [changes], status [False]
 🗙	[74, 76, 77, 77, 78, 79, 82, 79] | direction [changes], status [False]
 🗙	[91, 94, 94, 95, 95] | direction [changes], status [False]
 🗙	[66, 69, 70, 71, 71, 72, 76] | direction [changes], status [False]
 🗙	[44, 47, 49, 52, 52, 58] | direction [changes], status [False]
 🔺	[4, 6, 7, 11, 14, 16, 18] | direction [up], status [False]
 🗙	[80, 81, 85, 87, 89, 88] | direction [changes], status [False]
 🗙	[81, 84, 86, 90, 93, 93] | direction [changes], status [False]
 🔺	[5, 8, 10, 12, 14, 18, 22] | direction [up], status [False]
 🔺	[15, 16, 20, 21, 26] | direction [up], status [False]
 🔺	[16, 19, 24, 26, 27] | direction [up], status [False]
 🗙	[81, 83, 86, 88, 93, 94, 91] | direction [changes], status [False]
 🗙	[61, 62, 63, 66, 71, 74, 74] | direction [changes], status [False]
 🔺	[13, 14, 16, 23, 27] | direction [up], status [False]
 🔺	[46, 47, 53, 54, 57, 63] | direction [up], status [False]
 🗙	[34, 33, 36, 38, 41, 43, 46, 48] | direction [changes], status [False]
 🗙	[50, 47, 49, 52, 55, 56, 58, 57] | direction [changes], status [False]
 🗙	[10, 9, 10, 12, 12] | direction [changes], status [False]
 🗙	[36, 33, 34, 35, 37, 39, 40, 44] | direction [changes], status [False]
 🗙	[68, 66, 67, 69, 71, 74, 80] | direction [changes], status [False]
 🗙	[83, 80, 81, 79, 80, 81] | direction [changes], status [False]
 🗙	[78, 76, 78, 79, 78, 80, 83, 80] | direction [changes], status [False]
 🗙	[56, 53, 56, 54, 57, 57] | direction [changes], status [False]
 🗙	[31, 28, 29, 31, 30, 34] | direction [changes], status [False]
 🗙	[62, 59, 56, 58, 63] | direction [changes], status [False]
 🗙	[6, 5, 7, 7, 9] | direction [changes], status [False]
 🗙	[22, 19, 21, 23, 23, 24, 21] | direction [changes], status [False]
 🗙	[31, 28, 30, 33, 34, 36, 36, 36] | direction [changes], status [False]
 🗙	[65, 64, 65, 68, 68, 70, 71, 75] | direction [changes], status [False]
 🗙	[7, 6, 8, 11, 11, 12, 13, 18] | direction [changes], status [False]
 🗙	[60, 58, 59, 61, 63, 65, 69, 72] | direction [changes], status [False]
 🗙	[48, 46, 47, 49, 53, 51] | direction [changes], status [False]
 🗙	[78, 77, 81, 84, 86, 88, 88] | direction [changes], status [False]
 🗙	[15, 13, 15, 16, 19, 23, 27] | direction [changes], status [False]
 🗙	[48, 46, 50, 52, 54, 55, 58, 63] | direction [changes], status [False]
 🗙	[18, 16, 18, 19, 25, 27, 29] | direction [changes], status [False]
 🗙	[71, 68, 69, 72, 73, 80, 82, 80] | direction [changes], status [False]
 🗙	[68, 66, 68, 70, 77, 77] | direction [changes], status [False]
 🗙	[75, 74, 76, 79, 85, 86, 90] | direction [changes], status [False]
 🗙	[69, 67, 70, 72, 74, 81, 83, 89] | direction [changes], status [False]
 🗙	[66, 66, 67, 70, 72, 73] | direction [changes], status [False]
 🗙	[6, 6, 9, 11, 10] | direction [changes], status [False]
 🗙	[15, 15, 16, 19, 19] | direction [changes], status [False]
 🗙	[53, 53, 54, 57, 58, 62] | direction [changes], status [False]
 🗙	[79, 79, 82, 85, 91] | direction [changes], status [False]
 🗙	[25, 25, 23, 25, 28, 29] | direction [changes], status [False]
 🗙	[1, 1, 3, 1, 4, 1] | direction [changes], status [False]
 🗙	[80, 80, 81, 82, 80, 82, 85, 85] | direction [changes], status [False]
 🗙	[36, 36, 38, 41, 40, 41, 45] | direction [changes], status [False]
 🗙	[8, 8, 10, 13, 16, 13, 16, 21] | direction [changes], status [False]
 🗙	[7, 7, 7, 10, 12, 13, 15, 18] | direction [changes], status [False]
 🗙	[39, 39, 41, 43, 43, 46, 48, 45] | direction [changes], status [False]
 🗙	[10, 10, 13, 13, 14, 17, 17] | direction [changes], status [False]
 🗙	[71, 71, 72, 74, 76, 76, 80] | direction [changes], status [False]
 🗙	[53, 53, 56, 59, 59, 65] | direction [changes], status [False]
 🗙	[19, 19, 23, 26, 28, 29, 32] | direction [changes], status [False]
 🗙	[67, 67, 68, 69, 71, 75, 74] | direction [changes], status [False]
 🗙	[62, 62, 65, 69, 71, 73, 74, 74] | direction [changes], status [False]
 🗙	[42, 42, 46, 48, 49, 51, 55] | direction [changes], status [False]
 🗙	[47, 47, 51, 53, 56, 58, 63] | direction [changes], status [False]
 🗙	[54, 54, 61, 64, 65] | direction [changes], status [False]
 🗙	[77, 77, 84, 85, 87, 84] | direction [changes], status [False]
 🗙	[15, 15, 20, 23, 24, 25, 25] | direction [changes], status [False]
 🗙	[87, 87, 94, 95, 99] | direction [changes], status [False]
 🗙	[17, 17, 22, 24, 29] | direction [changes], status [False]
 🔺	[42, 46, 47, 49, 51, 54, 55, 57] | direction [up], status [False]
 🗙	[54, 58, 59, 62, 59] | direction [changes], status [False]
 🗙	[60, 64, 66, 67, 69, 71, 73, 73] | direction [changes], status [False]
 🔺	[6, 10, 11, 14, 15, 18, 22] | direction [up], status [False]
 🔺	[46, 50, 52, 55, 58, 61, 68] | direction [up], status [False]
 🗙	[13, 17, 20, 23, 22, 25, 28] | direction [changes], status [False]
 🗙	[35, 39, 40, 43, 46, 45, 44] | direction [changes], status [False]
 🗙	[24, 28, 31, 29, 32, 32] | direction [changes], status [False]
 🗙	[24, 28, 30, 31, 30, 33, 36, 40] | direction [changes], status [False]
 🗙	[75, 79, 80, 81, 78, 79, 85] | direction [changes], status [False]
 🗙	[23, 27, 27, 29, 30] | direction [changes], status [False]
 🗙	[47, 51, 52, 52, 53, 51] | direction [changes], status [False]
 🗙	[34, 38, 38, 41, 43, 44, 46, 46] | direction [changes], status [False]
 🗙	[61, 65, 66, 66, 70] | direction [changes], status [False]
 🗙	[86, 90, 91, 91, 97] | direction [changes], status [False]
 🔺	[5, 9, 11, 13, 15, 18, 22, 24] | direction [up], status [False]
 🗙	[70, 74, 77, 81, 83, 81] | direction [changes], status [False]
 🗙	[5, 9, 12, 16, 19, 19] | direction [changes], status [False]
 🔺	[61, 65, 66, 70, 72, 75, 79] | direction [up], status [False]
 🔺	[59, 63, 67, 70, 73, 78] | direction [up], status [False]
 🔺	[12, 16, 18, 24, 27] | direction [up], status [False]
 🗙	[19, 23, 25, 26, 28, 33, 36, 33] | direction [changes], status [False]
 🗙	[78, 82, 87, 89, 91, 91] | direction [changes], status [False]
 🔺	[76, 80, 83, 88, 92] | direction [up], status [False]
 🔺	[8, 12, 14, 21, 28] | direction [up], status [False]
 🔺	[24, 29, 30, 32, 33, 34, 36] | direction [up], status [False]
 🗙	[51, 58, 60, 61, 62, 63, 61] | direction [changes], status [False]
 🗙	[38, 45, 47, 50, 50] | direction [changes], status [False]
 🔺	[57, 63, 64, 66, 67, 68, 72] | direction [up], status [False]
 🔺	[6, 12, 14, 15, 18, 20, 26] | direction [up], status [False]
 🗙	[5, 10, 9, 12, 14] | direction [changes], status [False]
 🗙	[50, 55, 52, 53, 51] | direction [changes], status [False]
 🗙	[16, 21, 18, 20, 23, 25, 25] | direction [changes], status [False]
 🗙	[9, 14, 11, 14, 18] | direction [changes], status [False]
 🗙	[72, 79, 80, 82, 80, 81, 82, 87] | direction [changes], status [False]
 🗙	[85, 91, 92, 92, 93, 94] | direction [changes], status [False]
 🗙	[85, 91, 91, 93, 92] | direction [changes], status [False]
 🗙	[3, 8, 10, 10, 11, 11] | direction [changes], status [False]
 🗙	[12, 19, 19, 21, 25] | direction [changes], status [False]
 🗙	[40, 47, 48, 51, 52, 54, 54, 61] | direction [changes], status [False]
 🔺	[78, 83, 84, 88, 90, 92, 93, 95] | direction [up], status [False]
 🗙	[48, 54, 57, 61, 58] | direction [changes], status [False]
 🗙	[76, 81, 82, 85, 89, 89] | direction [changes], status [False]
 🔺	[56, 63, 64, 65, 68, 72, 76] | direction [up], status [False]
 🔺	[64, 71, 72, 75, 76, 80, 85] | direction [up], status [False]
 🔺	[38, 45, 50, 53, 54, 56] | direction [up], status [False]
 🗙	[56, 61, 62, 67, 69, 70, 67] | direction [changes], status [False]
 🗙	[45, 51, 54, 59, 60, 62, 64, 64] | direction [changes], status [False]
 🔺	[2, 8, 11, 18, 19, 23] | direction [up], status [False]
 🔺	[60, 67, 70, 71, 73, 80, 82, 89] | direction [up], status [False]
 🗙	[65, 63, 61, 59, 60] | direction [changes], status [False]
 🗙	[85, 82, 79, 76, 73, 71, 69, 69] | direction [changes], status [False]
 🔻	[18, 17, 14, 11, 8, 6, 5, 1] | direction [down], status [False]
 🔻	[20, 18, 16, 15, 13, 12, 7] | direction [down], status [False]
 🗙	[61, 60, 58, 56, 53, 54, 51] | direction [changes], status [False]
 🗙	[54, 51, 54, 52, 51, 52] | direction [changes], status [False]
 🗙	[14, 12, 11, 8, 11, 8, 7, 7] | direction [changes], status [False]
 🗙	[81, 78, 77, 76, 78, 75, 72, 68] | direction [changes], status [False]
 🗙	[17, 15, 13, 12, 15, 10] | direction [changes], status [False]
 🗙	[44, 43, 41, 39, 39, 38, 37] | direction [changes], status [False]
 🗙	[63, 61, 58, 57, 57, 55, 56] | direction [changes], status [False]
 🗙	[82, 80, 79, 77, 75, 73, 73, 73] | direction [changes], status [False]
 🗙	[98, 95, 92, 92, 88] | direction [changes], status [False]
 🗙	[54, 52, 52, 51, 49, 46, 41] | direction [changes], status [False]
 🔻	[16, 15, 14, 12, 8, 6, 5] | direction [down], status [False]
 🗙	[44, 41, 37, 36, 37] | direction [changes], status [False]
 🗙	[39, 36, 34, 32, 28, 27, 24, 24] | direction [changes], status [False]
 🔻	[94, 92, 89, 85, 84, 80] | direction [down], status [False]
 🔻	[61, 60, 56, 54, 51, 49, 48, 42] | direction [down], status [False]
 🔻	[50, 48, 42, 41, 39] | direction [down], status [False]
 🗙	[92, 90, 89, 87, 80, 82] | direction [changes], status [False]
 🗙	[57, 54, 48, 45, 44, 41, 39, 39] | direction [changes], status [False]
 🔻	[67, 66, 64, 59, 57, 53] | direction [down], status [False]
 🔻	[49, 47, 45, 38, 36, 35, 30] | direction [down], status [False]
 🗙	[97, 98, 95, 93, 90, 89, 87, 86] | direction [changes], status [False]
 🗙	[24, 26, 24, 21, 24] | direction [changes], status [False]
 🗙	[37, 39, 37, 36, 33, 30, 30] | direction [changes], status [False]
 🗙	[61, 63, 60, 59, 58, 54] | direction [changes], status [False]
 🗙	[63, 66, 64, 62, 56] | direction [changes], status [False]
 🗙	[68, 71, 70, 72, 71, 70] | direction [changes], status [False]
 🗙	[88, 89, 92, 91, 89, 91] | direction [changes], status [False]
 🗙	[28, 29, 28, 27, 30, 28, 28] | direction [changes], status [False]
 🗙	[21, 22, 24, 22, 20, 19, 15] | direction [changes], status [False]
 🗙	[91, 92, 95, 92, 85] | direction [changes], status [False]
 🗙	[68, 71, 70, 69, 68, 68, 66, 63] | direction [changes], status [False]
 🗙	[73, 76, 73, 72, 70, 67, 67, 70] | direction [changes], status [False]
 🗙	[38, 41, 38, 38, 37, 37] | direction [changes], status [False]
 🗙	[71, 73, 72, 72, 71, 68, 65, 61] | direction [changes], status [False]
 🗙	[17, 19, 16, 15, 15, 14, 7] | direction [changes], status [False]
 🗙	[38, 40, 37, 35, 34, 30, 28, 27] | direction [changes], status [False]
 🗙	[11, 12, 10, 8, 4, 6] | direction [changes], status [False]
 🗙	[89, 92, 91, 88, 84, 81, 81] | direction [changes], status [False]
 🗙	[80, 81, 79, 76, 72, 68] | direction [changes], status [False]
 🗙	[51, 52, 50, 48, 44, 39] | direction [changes], status [False]
 🗙	[35, 37, 34, 27, 25] | direction [changes], status [False]
 🗙	[60, 63, 61, 56, 55, 58] | direction [changes], status [False]
 🗙	[47, 48, 43, 42, 39, 39] | direction [changes], status [False]
 🗙	[24, 26, 19, 17, 13] | direction [changes], status [False]
 🗙	[68, 69, 67, 62, 60, 53] | direction [changes], status [False]
 🗙	[95, 95, 94, 92, 89] | direction [changes], status [False]
 🗙	[80, 80, 77, 76, 74, 72, 70, 72] | direction [changes], status [False]
 🗙	[81, 81, 78, 75, 75] | direction [changes], status [False]
 🗙	[99, 99, 98, 97, 96, 95, 93, 89] | direction [changes], status [False]
 🗙	[16, 16, 14, 13, 12, 7] | direction [changes], status [False]
 🗙	[98, 98, 95, 92, 90, 93, 92] | direction [changes], status [False]
 🗙	[92, 92, 95, 92, 89, 92] | direction [changes], status [False]
 🗙	[41, 41, 38, 41, 40, 40] | direction [changes], status [False]
 🗙	[50, 50, 48, 50, 46] | direction [changes], status [False]
 🗙	[21, 21, 22, 19, 16, 14, 9] | direction [changes], status [False]
 🗙	[49, 49, 49, 47, 44, 41, 38] | direction [changes], status [False]
 🗙	[74, 74, 72, 71, 71, 72] | direction [changes], status [False]
 🗙	[10, 10, 8, 6, 3, 3, 2, 2] | direction [changes], status [False]
 🗙	[71, 71, 69, 66, 65, 65, 63, 59] | direction [changes], status [False]
 🗙	[81, 81, 81, 80, 75] | direction [changes], status [False]
 🗙	[20, 20, 16, 14, 13] | direction [changes], status [False]
 🗙	[46, 46, 42, 40, 39, 38, 39] | direction [changes], status [False]
 🗙	[9, 9, 8, 7, 3, 3] | direction [changes], status [False]
 🗙	[76, 76, 72, 71, 69, 68, 67, 63] | direction [changes], status [False]
 🗙	[47, 47, 46, 44, 40, 39, 34] | direction [changes], status [False]
 🗙	[25, 25, 22, 21, 16, 14] | direction [changes], status [False]
 🗙	[78, 78, 72, 71, 68, 67, 70] | direction [changes], status [False]
 🗙	[26, 26, 20, 17, 17] | direction [changes], status [False]
 🗙	[21, 21, 14, 11, 10, 6] | direction [changes], status [False]
 🗙	[63, 63, 56, 55, 53, 51, 50, 43] | direction [changes], status [False]
 🔻	[95, 91, 90, 88, 86, 84, 83, 81] | direction [down], status [False]
 🗙	[54, 50, 48, 46, 43, 45] | direction [changes], status [False]
 🗙	[84, 80, 78, 76, 76] | direction [changes], status [False]
 🔻	[44, 40, 37, 36, 34, 30] | direction [down], status [False]
 🔻	[32, 28, 26, 25, 23, 18] | direction [down], status [False]
 🗙	[29, 25, 24, 23, 24, 22, 21, 20] | direction [changes], status [False]
 🗙	[77, 73, 70, 67, 70, 68, 69] | direction [changes], status [False]
 🗙	[60, 56, 58, 56, 54, 53, 51, 51] | direction [changes], status [False]
 🗙	[92, 88, 85, 84, 86, 82] | direction [changes], status [False]
 🗙	[62, 58, 55, 53, 52, 54, 53, 46] | direction [changes], status [False]
 🗙	[45, 41, 41, 38, 37, 35] | direction [changes], status [False]
 🗙	[38, 34, 31, 31, 33] | direction [changes], status [False]
 🗙	[71, 67, 65, 65, 65] | direction [changes], status [False]
 🗙	[27, 23, 20, 18, 15, 15, 11] | direction [changes], status [False]
 🗙	[82, 78, 78, 75, 74, 71, 70, 64] | direction [changes], status [False]
 🔻	[80, 76, 74, 72, 70, 66, 65] | direction [down], status [False]
 🗙	[56, 52, 51, 47, 46, 43, 41, 44] | direction [changes], status [False]
 🗙	[71, 67, 65, 61, 61] | direction [changes], status [False]
 🔻	[81, 77, 74, 73, 69, 65] | direction [down], status [False]
 🔻	[98, 94, 92, 91, 88, 84, 79] | direction [down], status [False]
 🔻	[41, 37, 35, 30, 27] | direction [down], status [False]
 🗙	[88, 84, 81, 80, 75, 77] | direction [changes], status [False]
 🗙	[34, 30, 27, 25, 24, 19, 19] | direction [changes], status [False]
 🔻	[54, 50, 48, 45, 43, 38, 36, 32] | direction [down], status [False]
 🔻	[64, 60, 59, 54, 52, 45] | direction [down], status [False]
 🔻	[93, 88, 86, 85, 82] | direction [down], status [False]
 🗙	[54, 47, 46, 43, 46] | direction [changes], status [False]
 🗙	[26, 21, 19, 18, 18] | direction [changes], status [False]
 🔻	[24, 18, 15, 13, 12, 9, 6, 2] | direction [down], status [False]
 🔻	[73, 68, 66, 63, 60, 57, 54, 49] | direction [down], status [False]
 🗙	[62, 56, 55, 56, 54, 51, 50] | direction [changes], status [False]
 🗙	[65, 58, 56, 59, 57, 54, 52, 55] | direction [changes], status [False]
 🗙	[92, 87, 86, 85, 82, 85, 85] | direction [changes], status [False]
 🗙	[15, 9, 7, 10, 6] | direction [changes], status [False]
 🗙	[73, 66, 63, 62, 61, 64, 59] | direction [changes], status [False]
 🗙	[77, 71, 70, 67, 67, 66, 63] | direction [changes], status [False]
 🗙	[65, 60, 57, 55, 55, 53, 56] | direction [changes], status [False]
 🗙	[76, 70, 70, 68, 66, 65, 62, 62] | direction [changes], status [False]
 🗙	[37, 30, 28, 28, 27, 25, 22, 18] | direction [changes], status [False]
 🗙	[43, 38, 35, 35, 32, 25] | direction [changes], status [False]
 🔻	[93, 87, 83, 81, 79, 76] | direction [down], status [False]
 🗙	[72, 66, 62, 61, 60, 57, 60] | direction [changes], status [False]
 🗙	[78, 73, 69, 67, 67] | direction [changes], status [False]
 🔻	[96, 90, 87, 83, 79] | direction [down], status [False]
 🔻	[53, 46, 45, 41, 35] | direction [down], status [False]
 🔻	[74, 68, 66, 61, 58] | direction [down], status [False]
 🗙	[96, 90, 84, 81, 79, 76, 79] | direction [changes], status [False]
 🗙	[90, 83, 82, 77, 76, 76] | direction [changes], status [False]
 🔻	[98, 92, 86, 83, 82, 78] | direction [down], status [False]
 🔻	[63, 58, 55, 54, 52, 45, 44, 38] | direction [down], status [False]
 🗙	[66, 71, 71, 72, 74, 75, 77] | direction [changes], status [False]
 🗙	[6, 4, 6, 10, 13, 14, 14] | direction [changes], status [False]
 🔻	[42, 40, 39, 36, 31, 25] | direction [down], status [False]
 🗙	[45, 44, 46, 45, 44, 43, 42, 38] | direction [changes], status [False]
 🗙	[37, 39, 40, 43, 45, 46, 46] | direction [changes], status [False]
 🗙	[15, 11, 8, 7, 3, 1, 3] | direction [changes], status [False]
 🗙	[53, 53, 52, 51, 47] | direction [changes], status [False]
 🔻	[24, 19, 18, 13, 7] | direction [down], status [False]
 🔻	[39, 35, 34, 33, 30, 27, 20] | direction [down], status [False]
 🗙	[32, 32, 30, 26, 29] | direction [changes], status [False]
 🗙	[75, 75, 80, 83, 85, 88, 88] | direction [changes], status [False]
 🗙	[26, 26, 30, 32, 33, 34, 37] | direction [changes], status [False]
 🗙	[46, 46, 48, 47, 42] | direction [changes], status [False]
 🔻	[46, 41, 39, 36, 32, 31, 27] | direction [down], status [False]
 🔻	[91, 88, 86, 83, 80, 73] | direction [down], status [False]
 🔻	[71, 67, 66, 63, 59] | direction [down], status [False]
 🗙	[41, 45, 47, 46, 47, 50, 51] | direction [changes], status [False]
 🗙	[43, 37, 35, 36, 32] | direction [changes], status [False]
 🗙	[8, 9, 10, 10, 12, 13, 15, 20] | direction [changes], status [False]
 🗙	[28, 28, 29, 30, 30, 31, 34, 38] | direction [changes], status [False]
 🗙	[66, 69, 66, 63, 65, 66] | direction [changes], status [False]
 🗙	[98, 94, 91, 87, 86, 86] | direction [changes], status [False]
 🗙	[35, 34, 33, 33, 32] | direction [changes], status [False]
