match | center (  1,   1) | [["M", "M", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 25,  13) | [["S", "M", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 25,  55) | [["S", "M", "M"], ["M", "A", "S"], ["S", "M", "M"]]
match | center ( 25,  57) | [["M", "M", "S"], ["S", "A", "X"], ["M", "M", "S"]]
match | center ( 25,  59) | [["S", "S", "M"], ["X", "A", "A"], ["S", "M", "M"]]
match | center ( 25,  63) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 25,  65) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 25,  80) | [["M", "A", "S"], ["X", "A", "M"], ["M", "S", "S"]]
match | center ( 25, 103) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 25, 107) | [["M", "S", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 25, 131) | [["S", "M", "S"], ["A", "A", "M"], ["M", "X", "M"]]
match | center ( 26,   8) | [["S", "X", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 26,  11) | [["M", "A", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 26,  20) | [["S", "X", "S"], ["S", "A", "X"], ["M", "A", "M"]]
match | center ( 26,  25) | [["S", "M", "M"], ["M", "A", "X"], ["S", "M", "M"]]
match | center ( 26,  39) | [["M", "M", "S"], ["S", "A", "X"], ["M", "M", "S"]]
match | center ( 26,  41) | [["S", "M", "M"], ["X", "A", "A"], ["S", "S", "M"]]
match | center ( 26,  42) | [["M", "M", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 26,  44) | [["M", "M", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 26,  70) | [["S", "M", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 27,   1) | [["M", "X", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 27,  37) | [["S", "X", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center ( 27,  44) | [["M", "A", "M"], ["S", "A", "S"], ["S", "X", "S"]]
match | center ( 27,  55) | [["S", "M", "M"], ["M", "A", "A"], ["S", "S", "M"]]
match | center ( 27,  56) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 27,  57) | [["M", "M", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 27,  79) | [["S", "M", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 27,  81) | [["S", "S", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 27, 108) | [["M", "S", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center ( 27, 109) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 27, 111) | [["S", "S", "S"], ["A", "A", "A"], ["M", "X", "M"]]
match | center ( 27, 120) | [["M", "A", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 27, 131) | [["M", "X", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 27, 138) | [["M", "M", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 28,   1) | [["M", "A", "M"], ["S", "A", "S"], ["S", "M", "S"]]
match | center ( 28,   6) | [["M", "M", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 28,   7) | [["M", "S", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 28,   8) | [["S", "S", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center ( 28,  13) | [["S", "M", "S"], ["M", "A", "S"], ["M", "S", "M"]]
match | center ( 28,  17) | [["M", "X", "M"], ["X", "A", "M"], ["S", "X", "S"]]
match | center ( 28,  22) | [["M", "S", "S"], ["M", "A", "A"], ["M", "M", "S"]]
match | center ( 28,  23) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 28,  24) | [["S", "S", "M"], ["A", "A", "X"], ["S", "M", "M"]]
match | center ( 28,  28) | [["M", "S", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 28,  40) | [["M", "S", "S"], ["X", "A", "X"], ["M", "A", "S"]]
match | center ( 28,  46) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 28,  62) | [["M", "X", "M"], ["M", "A", "X"], ["S", "A", "S"]]
match | center ( 28,  72) | [["M", "S", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center ( 28,  85) | [["M", "M", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 28,  91) | [["S", "X", "S"], ["A", "A", "S"], ["M", "X", "M"]]
match | center ( 28,  96) | [["S", "X", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 28, 115) | [["S", "M", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 28, 133) | [["M", "X", "M"], ["S", "A", "S"], ["S", "M", "S"]]
match | center ( 29,  32) | [["M", "M", "S"], ["X", "A", "A"], ["M", "X", "S"]]
match | center ( 29,  34) | [["S", "S", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 29,  46) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 29,  51) | [["S", "X", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 29,  57) | [["M", "S", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 29,  77) | [["M", "S", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 29,  85) | [["S", "A", "S"], ["M", "A", "S"], ["M", "M", "M"]]
match | center ( 29,  87) | [["S", "M", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center ( 29, 101) | [["S", "A", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center ( 29, 104) | [["M", "S", "S"], ["S", "A", "A"], ["M", "X", "S"]]
match | center ( 29, 106) | [["S", "M", "M"], ["A", "A", "S"], ["S", "M", "M"]]
match | center ( 29, 115) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 29, 125) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 29, 127) | [["S", "X", "S"], ["M", "A", "M"], ["M", "S", "M"]]
match | center ( 29, 129) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 29, 131) | [["S", "M", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 30,   3) | [["S", "A", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 30,  14) | [["S", "M", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 30,  17) | [["S", "X", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 30,  62) | [["S", "A", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 30,  64) | [["S", "M", "S"], ["A", "A", "X"], ["M", "X", "M"]]
match | center ( 30,  67) | [["M", "M", "S"], ["X", "A", "X"], ["M", "X", "S"]]
match | center ( 30,  77) | [["M", "A", "S"], ["S", "A", "S"], ["M", "X", "S"]]
match | center ( 30,  96) | [["M", "M", "M"], ["S", "A", "X"], ["S", "X", "S"]]
match | center ( 30, 110) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 30, 125) | [["M", "A", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 30, 131) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 30, 133) | [["S", "M", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 31,  20) | [["M", "X", "M"], ["A", "A", "S"], ["S", "M", "S"]]
match | center ( 31,  40) | [["M", "X", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 31,  44) | [["M", "A", "S"], ["X", "A", "X"], ["M", "X", "S"]]
match | center ( 31,  48) | [["M", "M", "M"], ["M", "A", "A"], ["S", "X", "S"]]
match | center ( 31,  50) | [["M", "M", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 31,  54) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 31,  57) | [["M", "S", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 31,  58) | [["S", "S", "M"], ["A", "A", "A"], ["S", "S", "M"]]
match | center ( 31,  59) | [["S", "M", "M"], ["A", "A", "X"], ["S", "M", "M"]]
match | center ( 31,  79) | [["S", "M", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 31,  86) | [["M", "M", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 31,  94) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 31, 110) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 31, 118) | [["M", "S", "S"], ["X", "A", "M"], ["M", "A", "S"]]
match | center ( 31, 120) | [["S", "M", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 32,  13) | [["M", "S", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 32,  22) | [["S", "X", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center ( 32,  38) | [["M", "X", "S"], ["A", "A", "M"], ["M", "X", "S"]]
match | center ( 32,  40) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 32,  69) | [["S", "X", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 32,  79) | [["S", "A", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center ( 32, 102) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 32, 106) | [["M", "A", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 32, 133) | [["M", "X", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 32, 135) | [["M", "A", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 33,  15) | [["M", "X", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center ( 33,  17) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 33,  18) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 33,  24) | [["M", "A", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 33,  27) | [["M", "A", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 33,  34) | [["S", "X", "S"], ["M", "A", "X"], ["M", "M", "M"]]
match | center ( 33,  40) | [["M", "A", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 33,  42) | [["S", "A", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 33,  44) | [["M", "X", "S"], ["X", "A", "A"], ["M", "X", "S"]]
match | center ( 33,  52) | [["S", "X", "M"], ["X", "A", "S"], ["S", "X", "M"]]
match | center ( 33,  72) | [["M", "M", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 33,  75) | [["S", "X", "S"], ["X", "A", "X"], ["M", "A", "M"]]
match | center ( 33,  81) | [["M", "S", "M"], ["M", "A", "X"], ["S", "S", "S"]]
match | center ( 33,  88) | [["S", "X", "M"], ["X", "A", "X"], ["S", "X", "M"]]
match | center ( 33, 102) | [["M", "A", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 33, 118) | [["M", "A", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 33, 120) | [["S", "X", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center ( 33, 133) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 33, 135) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 34,   3) | [["S", "A", "S"], ["M", "A", "X"], ["M", "X", "M"]]
match | center ( 34,   7) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 34,  22) | [["S", "X", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 34,  62) | [["S", "M", "S"], ["A", "A", "S"], ["M", "A", "M"]]
match | center ( 34, 123) | [["S", "M", "S"], ["M", "A", "X"], ["M", "A", "M"]]
match | center ( 34, 128) | [["S", "X", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center ( 34, 133) | [["S", "A", "S"], ["M", "A", "S"], ["M", "M", "M"]]
match | center ( 34, 135) | [["S", "A", "S"], ["S", "A", "M"], ["M", "X", "M"]]
match | center ( 34, 137) | [["S", "X", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 35,  16) | [["M", "S", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 35,  18) | [["M", "S", "M"], ["M", "A", "A"], ["S", "S", "S"]]
match | center ( 35,  19) | [["S", "M", "M"], ["A", "A", "A"], ["S", "S", "M"]]
match | center ( 35,  27) | [["S", "M", "S"], ["M", "A", "X"], ["M", "M", "M"]]
match | center ( 35,  42) | [["S", "X", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center ( 35,  70) | [["S", "S", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 35,  71) | [["S", "S", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 35,  72) | [["S", "M", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 35,  78) | [["M", "M", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center ( 35,  79) | [["M", "M", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center ( 35,  84) | [["M", "X", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 35, 120) | [["S", "M", "M"], ["X", "A", "A"], ["S", "M", "M"]]
match | center ( 36,   5) | [["M", "M", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center ( 36,   9) | [["S", "S", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 36,  10) | [["S", "S", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 36,  36) | [["S", "A", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 36,  67) | [["S", "X", "M"], ["X", "A", "S"], ["S", "A", "M"]]
match | center ( 36,  86) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 36,  88) | [["M", "M", "M"], ["M", "A", "A"], ["S", "X", "S"]]
match | center ( 36,  90) | [["M", "M", "M"], ["A", "A", "X"], ["S", "S", "S"]]
match | center ( 36,  92) | [["M", "S", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center ( 36,  93) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 36,  94) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 36,  98) | [["S", "X", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center ( 36, 126) | [["S", "A", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 36, 137) | [["M", "S", "M"], ["M", "A", "A"], ["S", "M", "S"]]
match | center ( 36, 138) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 37,  14) | [["S", "X", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 37,  16) | [["S", "M", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 37,  18) | [["S", "S", "S"], ["X", "A", "M"], ["M", "S", "M"]]
match | center ( 37,  22) | [["M", "A", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center ( 37,  32) | [["M", "X", "S"], ["A", "A", "M"], ["M", "X", "S"]]
match | center ( 37,  42) | [["S", "M", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 37,  49) | [["M", "X", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center ( 37,  73) | [["M", "M", "S"], ["X", "A", "M"], ["M", "A", "S"]]
match | center ( 37,  79) | [["M", "S", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 37,  86) | [["S", "A", "M"], ["S", "A", "S"], ["S", "X", "M"]]
match | center ( 37, 102) | [["M", "X", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center ( 37, 105) | [["S", "X", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 37, 107) | [["S", "A", "S"], ["M", "A", "X"], ["M", "S", "M"]]
match | center ( 37, 118) | [["M", "A", "S"], ["M", "A", "A"], ["M", "X", "S"]]
match | center ( 37, 120) | [["S", "M", "M"], ["A", "A", "S"], ["S", "M", "M"]]
match | center ( 37, 122) | [["M", "M", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 38,   1) | [["M", "A", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 38,   4) | [["M", "M", "M"], ["X", "A", "M"], ["S", "S", "S"]]
match | center ( 38,  34) | [["M", "M", "S"], ["S", "A", "A"], ["M", "X", "S"]]
match | center ( 38,  42) | [["S", "A", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center ( 38,  46) | [["S", "M", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 38,  81) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 38,  83) | [["S", "M", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center ( 38,  90) | [["S", "S", "S"], ["A", "A", "A"], ["M", "X", "M"]]
match | center ( 38,  92) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 38,  94) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 38,  96) | [["S", "M", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 38,  97) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 38, 100) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 38, 116) | [["S", "M", "M"], ["X", "A", "M"], ["S", "X", "M"]]
match | center ( 38, 127) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 38, 128) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 39,  12) | [["S", "M", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center ( 39,  18) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 39,  20) | [["M", "M", "M"], ["X", "A", "A"], ["S", "S", "S"]]
match | center ( 39,  51) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 39,  57) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 39,  71) | [["M", "X", "M"], ["X", "A", "M"], ["S", "X", "S"]]
match | center ( 39,  81) | [["S", "A", "S"], ["M", "A", "S"], ["M", "X", "M"]]
match | center ( 39, 102) | [["S", "M", "S"], ["S", "A", "X"], ["M", "M", "M"]]
match | center ( 39, 118) | [["M", "X", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center ( 39, 120) | [["S", "M", "M"], ["X", "A", "A"], ["S", "X", "M"]]
match | center ( 39, 133) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 40,   2) | [["S", "S", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center ( 40,   5) | [["S", "S", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 40,  36) | [["S", "X", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 40,  38) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 40,  39) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 40,  43) | [["M", "M", "S"], ["S", "A", "A"], ["M", "S", "S"]]
match | center ( 40,  44) | [["M", "S", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 40,  45) | [["S", "M", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 40,  63) | [["M", "X", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 40,  88) | [["S", "A", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center ( 40,  95) | [["S", "M", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 40,  97) | [["S", "M", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center ( 40, 116) | [["S", "X", "M"], ["X", "A", "M"], ["S", "A", "M"]]
match | center ( 40, 123) | [["M", "X", "M"], ["S", "A", "S"], ["S", "M", "S"]]
match | center ( 40, 129) | [["M", "S", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 40, 133) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 41,  12) | [["S", "S", "M"], ["X", "A", "A"], ["S", "A", "M"]]
match | center ( 41,  20) | [["S", "S", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 41,  24) | [["S", "M", "S"], ["A", "A", "S"], ["M", "M", "M"]]
match | center ( 41,  47) | [["M", "M", "S"], ["M", "A", "A"], ["M", "M", "S"]]
match | center ( 41,  49) | [["S", "X", "M"], ["A", "A", "S"], ["S", "X", "M"]]
match | center ( 41,  53) | [["M", "A", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center ( 41,  61) | [["M", "A", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 41,  73) | [["S", "S", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center ( 41, 101) | [["M", "M", "M"], ["X", "A", "A"], ["S", "S", "S"]]
match | center ( 42,   5) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 42,  26) | [["S", "M", "S"], ["M", "A", "X"], ["M", "S", "M"]]
match | center ( 42,  28) | [["S", "M", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center ( 42,  31) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 42,  32) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 42,  39) | [["S", "M", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center ( 42,  45) | [["S", "S", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 42,  64) | [["M", "S", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 42,  66) | [["S", "M", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 42,  85) | [["S", "M", "S"], ["X", "A", "A"], ["M", "A", "M"]]
match | center ( 42,  87) | [["S", "S", "S"], ["A", "A", "M"], ["M", "A", "M"]]
match | center ( 42,  98) | [["S", "M", "M"], ["X", "A", "M"], ["S", "M", "M"]]
match | center ( 42, 109) | [["S", "M", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center ( 42, 110) | [["M", "S", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center ( 42, 116) | [["S", "A", "M"], ["X", "A", "S"], ["S", "A", "M"]]
match | center ( 42, 121) | [["M", "A", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 42, 125) | [["S", "S", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 42, 131) | [["S", "X", "S"], ["X", "A", "S"], ["M", "M", "M"]]
match | center ( 43,   8) | [["S", "X", "S"], ["A", "A", "S"], ["M", "X", "M"]]
match | center ( 43,  10) | [["S", "M", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 43,  41) | [["M", "X", "M"], ["M", "A", "S"], ["S", "X", "S"]]
match | center ( 43,  43) | [["M", "M", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 43,  47) | [["M", "M", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center ( 43,  49) | [["S", "X", "M"], ["X", "A", "M"], ["S", "A", "M"]]
match | center ( 43,  51) | [["M", "A", "S"], ["M", "A", "X"], ["M", "X", "S"]]
match | center ( 43,  56) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 43,  72) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 43, 100) | [["M", "S", "S"], ["M", "A", "X"], ["M", "X", "S"]]
match | center ( 43, 104) | [["M", "A", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 43, 135) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 43, 137) | [["M", "M", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center ( 44,   2) | [["S", "M", "M"], ["A", "A", "M"], ["S", "X", "M"]]
match | center ( 44,  12) | [["M", "M", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 44,  20) | [["S", "M", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 44,  22) | [["S", "A", "S"], ["X", "A", "X"], ["M", "S", "M"]]
match | center ( 44,  25) | [["M", "M", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 44,  26) | [["M", "S", "M"], ["A", "A", "X"], ["S", "S", "S"]]
match | center ( 44,  28) | [["M", "M", "M"], ["X", "A", "X"], ["S", "S", "S"]]
match | center ( 44,  31) | [["M", "S", "M"], ["X", "A", "A"], ["S", "S", "S"]]
match | center ( 44,  43) | [["S", "A", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 44,  68) | [["M", "S", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center ( 44,  70) | [["S", "X", "M"], ["A", "A", "S"], ["S", "X", "M"]]
match | center ( 44,  72) | [["M", "A", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 44,  80) | [["M", "M", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center ( 44,  96) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 44, 108) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 44, 127) | [["M", "X", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 44, 131) | [["M", "M", "M"], ["A", "A", "A"], ["S", "X", "S"]]
match | center ( 44, 135) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 45,  43) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 45,  76) | [["S", "A", "M"], ["S", "A", "S"], ["S", "X", "M"]]
match | center ( 45,  96) | [["S", "A", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 45, 137) | [["M", "M", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center ( 46,   2) | [["S", "X", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center ( 46,  18) | [["S", "M", "M"], ["S", "A", "S"], ["S", "M", "M"]]
match | center ( 46,  23) | [["S", "M", "M"], ["X", "A", "X"], ["S", "A", "M"]]
match | center ( 46,  26) | [["S", "S", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 46,  27) | [["S", "S", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 46,  29) | [["S", "S", "S"], ["X", "A", "X"], ["M", "M", "M"]]
match | center ( 46,  32) | [["S", "S", "M"], ["X", "A", "M"], ["S", "M", "M"]]
match | center ( 46,  36) | [["S", "M", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 46,  40) | [["M", "X", "M"], ["M", "A", "A"], ["S", "X", "S"]]
match | center ( 46,  59) | [["M", "A", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center ( 46,  67) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 46,  74) | [["S", "X", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 46,  78) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 46,  80) | [["S", "M", "S"], ["A", "A", "X"], ["M", "X", "M"]]
match | center ( 46,  82) | [["S", "X", "S"], ["X", "A", "X"], ["M", "X", "M"]]
